Country code,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
MDG,67.39,5.7,1.98,238,514.90586,,19.84998,28427333,48.86,22.54,0.76,10.38,38.19,28,401.6722765,4.6,7.3,6.527744732,5.7,0.5280,26,35
BTN,72.08,23,0.21,165,,0.374,115.98076,779900,20.45,37.93,1.86,65.22,48.98,42.5,246.5552804,10.4,4.5,1.476740788,5.71,0.6540,68,62
BOL,71.771,3.1,3.91,105,3414.892849,0.436,245.92348,11832936,10.92,21.57,0.88,52.92,,40.1,214.4267937,5.5,4.5,4.434336358,4.65,0.7180,30,67
CAF,53.679,11.8,1.71,540,511.4847456,,37.19958,4919987,7.9,56.83,0.4,13.6,11.52,44.9,417.1225226,5.8,18.8,3.514466557,1.43,0.3970,24,32
CIV,58.104,16.9,3.04,135,2578.760412,0.372,75.08779,27053629,85.07,25.89,0.39,,54.47,32.8,269.7213159,2.1,12.5,3.215452541,4.22,0.5380,36,45
COD,60.971,7.3,1.1,319,584.1064092,,20.57073,92377986,40.75,44.91,0.3,12.69,40.42,36.9,319.8749967,5.8,11.4,3.034801237,1.4,0.4800,19,39
DJI,67.49,11.3,0.36,224,3363.712048,0.416,61.80943,1002197,43.24,45.55,1.04,37.08,,47.5,284.3599777,7.4,8.6,4.299681169,2.74,0.5240,30,48
SLV,73.533,17.4,4.09,55,4408.520365,0.388,300.05328,6518500,314.6,24.47,1.34,,77.45,40.8,150.2840502,6.3,1.7,5.717632128,5.72,0.6730,34,76
SWZ,60.721,35.9,8.78,319,4214.861688,0.546,264.05515,1172369,68.16,17.17,0.48,,88.72,44.9,339.8267144,4.6,7.2,4.821317425,3.08,0.6110,32,58
GMB,62.383,17.4,3.36,157,835.5944214,,29.7258,2486937,245.74,33.98,0.31,28.97,66.9,36.4,318.4738439,1.9,8.9,2.870146454,4.41,0.4960,37,48
HND,75.448,11.9,3.93,30,2831.033021,0.482,187.55434,10062994,89.94,20.63,1.4,49.68,,36.5,297.7172007,5.1,2.2,3.938948994,5.1,0.6340,23,63
LAO,68.219,12.4,12.08,149,2551.326081,0.388,68.22131,7379358,31.97,25.11,105.5,61.38,26.99,30.7,379.1330463,6.2,,2.224440411,1.77,0.6130,30,50
MWI,64.694,10.8,4.08,141,642.6569158,0.385,30.40029,19647681,208.4,23.57,0.2,24.21,,40.6,258.9105564,7.3,6.9,3.814950834,5.74,0.4830,35,48
MLI,59.692,8.7,1.31,52,917.9130633,0.361,34.28178,20855724,17.09,38.53,0.51,19.92,,28.5,276.1848578,2.1,17.2,2.178379563,3.48,0.4340,29,42
NPL,71.067,5.5,0.62,235,1222.878794,,53.2464,29674920,207.01,99.73,122.3,48.64,24.67,28.3,245.3822158,8.7,4.4,1.108967278,4.41,0.6020,33,53
NER,62.792,7.9,0.52,83,594.9251089,0.373,31.39764,25130810,19.84,94.05,0.12,16.19,,37.7,276.344163,5.2,12.4,2.757088183,3.22,0.3940,31,37
STP,70.583,6.4,5.8,118,2449.333442,0.407,108.4464,223364,232.67,28.54,10.69,34.66,40.11,52.9,319.7489397,5.5,4.6,4.396086038,,0.6250,45,60
SEN,68.213,11.2,0.73,117,1606.472061,0.381,59.09758,17196308,89.32,40.7,0.38,24.12,,33.9,255.1053979,3.1,6.4,2.360603395,5.53,0.5120,43,49
SUR,71.802,108.9,7.4,29,4836.332633,,619.24713,591798,3.79,24.78,1.8,25.18,63.41,45.9,252.267293,12.7,1.4,5.585547728,6.82,0.7380,39,67
UGA,63.713,2.5,12.48,196,858.0575127,0.427,32.40844,47123533,235.01,50.49,0.56,,42.8,35.8,246.4402588,4.6,6.5,5.03431518,4.48,0.5440,27,50
ARG,76.813,19.7,9.45,31,10729.23258,0.423,945.99194,45808747,16.74,13.31,1.39,26,99.1,41.1,183.9330924,5.4,0.7,7.544871667,6.81,0.8450,38,73
AUS,83.2,20.1,10.36,7.3,59934.12941,0.343,5427.4624,25739256,3.35,8.55,1,74.26,98.96,60.1,108.1264295,6.4,0.1,9.658272152,8.9,0.9440,73,87
AUT,81.19268,18.8,11.93,4.9,53267.93275,0.302,5242.18311,8956279,108.53,12.48,1.45,99.64,100,66.5,150.5649416,4.6,0.1,5.720266549,8.07,0.9220,74,82
BEL,80.79512,14.3,10.8,7.7,51767.78857,0.272,4960.39356,11587882,382.69,12.89,13.66,88.82,100,58.2,118.6472238,3.6,0.1,5.071598783,7.51,0.9310,73,85
BRA,76.084,22.8,7.32,45,7518.83428,0.489,853.38794,213993441,25.6,12.71,1.39,48.71,87.84,43.6,175.6614533,8.8,1.2,5.131950501,6.86,0.7650,38,75
CAN,81.74878,27.6,8.81,5.9,52051.35146,0.301,5048.37256,38246108,4.27,6.43,0.87,84.37,99.8,50,107.9212122,7.7,0.1,5.321987301,8.87,0.9290,74,89
CHL,80.329,9.2,8.95,15,16502.83857,0.449,1375.80298,19212362,25.84,21.04,11.62,78.6,98.77,46.7,126.8360351,10.8,0.2,5.635861542,7.92,0.8510,67,80
CHN,77.097,22.3,6.04,59,12556.33312,0.382,535.13336,1412360000,149.86,52.66,13.44,69.66,95.04,28.4,276.9374964,10.6,1.2,2.112704079,2.21,0.7610,45,82
CRI,80.465,18.8,4.07,10,12508.61563,0.493,921.58575,5139053,100.65,15.73,0.86,30.2,80.39,46.3,128.486014,8.8,0.4,5.887514093,8.07,0.8100,58,78
CZE,78.22683,24.6,9.8,3.9,26378.49996,0.253,1844.21777,10703446,138.65,16.07,3.92,85.2,97.96,59.9,232.2260811,7.1,0.2,3.294122645,7.74,0.9000,54,78
DNK,81.55122,24.6,10.13,4.9,67803.0471,0.277,6003.3252,5856733,146.42,10.03,11.3,91.89,100,77.9,118.7845718,5.3,0.1,5.287891661,9.09,0.9400,88,85
EST,78.34634,23.3,10.75,10,27280.65844,0.308,1598.81885,1329254,30.58,6.73,1.64,93.06,99.6,61.4,270.5599766,6.5,0.2,2.242233157,7.84,0.8920,74,78
FIN,82.13171,17.8,10.65,3.6,53982.61427,0.277,4450.30273,5541696,18.23,5.86,0.22,84.1,100,76.5,173.8077099,6.1,0,6.701333177,9.27,0.9380,88,83
FRA,82.17561,14.4,12.23,8.2,43518.53851,0.292,4491.73535,67499343,123.27,11.81,10.02,78.59,99.64,62.5,91.41488191,5.3,0.1,7.220191197,7.99,0.9010,71,84
DEU,80.94146,15.1,12.79,5.5,50801.78671,0.317,5440.25147,83129285,237.93,12.03,2.74,97.13,100,62.4,159.3591751,6.9,0.1,4.552763339,8.67,0.9470,80,86
GRC,81.0878,21,10.5,4.5,20276.54467,0.331,1500.59497,10664568,82.74,16.22,11.42,91.72,100,56.2,186.7683068,6.4,0.2,5.787818078,7.56,0.8880,49,78
ISL,83.06585,27,9.21,2.8,68383.76534,0.261,6274.95947,372295,3.69,6.48,0.88,83.69,100,62.8,109.1261527,5.5,0,7.9011076,9.18,0.9490,74,87
IDN,71.908,11,0.22,301,4291.81255,0.37,120.12496,276361788,147.2,16.5,11.62,60,87.4,28.2,383.2611536,10.6,4,3.577035128,6.71,0.7180,38,59
IRN,76.87,20.9,12,13,2756.74998,0.409,470.4346,85028760,52.2,38.98,0.79,60,96.15,34.5,277.7335894,9.1,2,3.438800939,1.95,0.7830,25,77
IRL,82.20488,23.2,12.75,5.3,99152.10257,0.306,5428.58887,5028230,72.99,8.21,1.57,82.9,97.9,57.4,132.7733536,3,0.1,7.562604639,9,0.9550,74,83
ISR,82.7,18.9,4.38,2.1,51430.07968,0.342,3456.38696,9364000,432.72,21.38,1.9,94.96,99.34,48.2,96.59198295,8.5,0,5.367342012,7.97,0.9190,59,84
ITA,82.3439,20,8.01,6.6,35551.28499,0.352,2905.5,59066225,198.39,16.75,11.3,95.78,100,57.7,126.0926447,6.4,0,4.328880435,7.68,0.8920,56,83
JPN,84.61561,23.8,10.09,12,39285.16311,0.334,4360.47363,125681593,344.81,11.7,11.27,81.43,100,57.2,77.00994346,6.6,0.2,4.219357304,8.15,0.9190,73,85
LUX,81.74146,15.5,12.45,5.9,135682.7943,0.342,6220.74121,639070,262.99,10.36,1.65,96.78,99.73,72.3,115.9868635,5.9,0,7.456022706,8.68,0.9160,81,86
MLT,82.65366,40.3,8.27,36,33257.42203,0.31,2531.91089,516869,1615.22,13.91,1.4,91.87,100,75.2,146.7436853,8,0.1,7.781551484,7.57,0.8950,54,81
MEX,75.131,11.8,5.05,24,9926.42277,0.454,540.37231,130262220,67.01,20.92,1.08,57.34,96.1,45.5,157.2695581,16.9,1.3,2.945755845,5.57,0.7790,31,74
NLD,81.40976,13.4,9.67,4.1,58061.00167,0.292,5335.30127,17533405,520.74,12.03,10.7,97.5,100,62.6,113.0101047,4.5,0.1,7.655746129,8.88,0.9440,82,86
NZL,82.0561,20.1,10.69,7.5,48801.68513,0.32,4211.04639,5122600,19.45,5.96,0.63,82.19,100,56.7,137.9260308,6.2,0.3,6.999008788,9.37,0.9310,88,86
NOR,83.20976,11.2,7.14,3.1,89202.75054,0.277,8007.39795,5408320,14.81,6.96,1.28,65.39,100,59.3,111.4806363,3.6,0.1,7.360104745,9.75,0.9570,85,86
PAN,78.68,30.5,7.77,32,14516.45805,0.498,1192.8208,4381583,59.07,11.4,1.18,45,94.7,50.5,123.8215494,8.2,2.1,4.707885589,6.85,0.8150,36,77
POL,76.6,17.4,11.89,9.6,17840.92105,0.302,1014.03821,37781024,123.4,20.88,10.22,90.54,98.3,50.6,235.587739,6.8,0.2,5.883233788,6.8,0.8800,56,74
PRT,80.97561,14.7,12.09,16,24262.18094,0.328,2221.43921,10299423,112.43,8.16,0.66,85.08,96.79,50.4,127.8910353,9.1,0.2,9.972069811,7.82,0.8640,62,84
RUS,71.33878,24.4,10.5,46,12172.78516,0.36,653.41724,143446060,8.76,16.16,1.55,60.82,96.9,37.5,432.9186383,5.6,0.5,2.717947371,3.24,0.8240,29,75
SVK,76.86585,29.7,11.06,3.2,21087.8461,0.232,1342.07483,5447247,113.3,17.56,2.61,81.93,100,60,298.900761,5.8,0.6,3.133854544,7.03,0.8600,52,77
SVN,80.53171,24.7,12.11,4.1,29200.81988,0.244,2219.10059,2107007,104.64,16.02,10.41,71.55,99.5,67.3,151.1431962,5.8,0,4.960977269,7.54,0.9170,57,80
ZAF,64.379,11.8,9.45,554,6994.21165,0.618,546.68842,60041996,49.5,25.1,11.22,44.3,81.06,37.2,222.6501702,10.8,5.8,4.273637393,7.05,0.7090,44,67
ESP,82.33415,20,12.67,7.3,30115.70589,0.343,2711.19287,47326687,94.73,9.7,1.01,95.67,99.8,56.6,106.7835569,10.3,0.1,4.94517344,7.94,0.9040,61,86
SWE,82.40732,22.5,9.04,3.6,60238.98656,0.278,5671.38574,10415811,25.57,6.18,0.93,94.93,100,72.7,138.5916839,5,0.1,8.242784731,9.26,0.9450,85,87
CHE,83.1,22.5,11.23,4.7,93457.4404,0.316,9666.33789,8697723,220.11,10.3,1.8,99.65,100,65.9,107.0639219,4.6,0.1,7.292590469,8.9,0.9550,84,87
TUR,77.928,19.4,1.77,15,9586.61245,0.419,396.46683,85042736,110.5,44.31,1.71,78.43,100,26.3,217.4592106,14.5,0.5,5.379629664,4.35,0.8200,38,79
ARE,78.12,17.6,3.85,0.79,36284.55524,0.26,1842.69446,9991083,140.68,40.92,0.37,99.23,99.6,52.4,325.8773204,16.4,0.4,7.548065285,2.9,0.8900,69,78
GBR,80.90244,13.6,11.45,6.9,47334.35531,0.366,4312.88916,67326569,278.29,10.47,12.07,98.1,100,77.7,132.3753125,6.3,0.2,10.06612885,8.1,0.9320,78,88
USA,77.28049,22.5,9.97,2.4,69287.53659,0.415,10921.0127,331893745,36.28,7.41,1.25,98.26,97.47,51.1,157.0095429,10.7,0.2,11.24882594,7.85,0.9260,67,83
TCD,54.505,1,1.26,144,696.42278,0.375,29.85083,16914985,13.43,66.03,0.28,10.14,17.38,28.1,288.1381409,5.8,28.2,2.19999112,1.67,0.3980,20,28
COL,77.46,10.1,5.45,37,6131.22592,0.542,495.32971,51265841,46.21,16.53,1.97,18.31,80.49,42.4,131.4750004,8.3,1.4,3.684322858,6.48,0.7670,39,78
HRV,77.72439,27.2,8.73,6.6,17398.76598,0.289,1040.08569,3899000,68.9,17.9,10.86,67.79,93.5,60.2,265.8471971,4.8,0.1,4.32312155,6.5,0.8510,47,73
GEO,73.919,23.8,9.47,70,5042.38553,0.345,291.12204,3708610,64.88,22.2,100.1,34.42,84.11,39.1,453.9993525,5.7,0.8,2.088510357,5.12,0.8120,55,65
HUN,75.61707,16,11.07,4.6,18772.67329,0.3,1062.39417,9709886,106.4,15.93,1.79,87.78,93.99,55.1,301.6162146,7,0.2,3.560790142,6.5,0.8540,43,73
LTU,74.92927,13.4,12.78,29,23433.39091,0.353,1369.97949,2795321,44.63,11.85,1.17,93.94,99.32,55.9,328.8327775,5.8,0.1,2.924782955,7.18,0.8820,61,70
PER,76.947,4,6.78,116,6692.24838,0.438,370.10995,33359416,26.06,24.79,13.75,52.81,59.35,39.8,88.61384216,4.8,1.5,4.560049468,6.09,0.7770,36,78
UKR,71.18512,20.1,8.34,73,4835.57178,0.256,248.13348,43814581,75.62,20.31,1.49,71.96,88.7,49.6,591.0062395,5.6,0.7,3.479519594,5.57,0.7790,32,73
ZWE,61.738,20.6,4.52,193,1737.17398,0.503,103.02827,15092171,39.01,22.25,0.47,25.65,64.58,46.2,321.0227996,2.1,6.8,2.083217913,2.92,0.5710,23,55
SRB,74.22927,23.5,8.85,13,9214.99355,0.345,641.02502,6844078,78.25,24.73,109.1,18.35,81.52,43.9,448.8363594,9.1,0.2,3.052209013,6.36,0.8060,38,71
PHL,71.36,21.4,7.02,539,3548.82832,0.423,142.07877,111046910,372.43,18.07,103.1,60.64,61.8,28.9,307.3220608,7.1,4.4,4.812910169,6.56,0.7180,33,55
SLE,55.066,4.5,5.31,298,515.93209,0.357,46.15796,8141343,112.79,21.63,0.31,14.05,12.52,32.7,291.2894186,2.1,14.4,2.808053383,4.97,0.4520,34,39
MMR,67.363,10,2.14,308,1187.23848,0.307,60.01587,54806014,83.96,35.56,10.17,60.71,73.77,19.4,352.7244029,7.1,7.3,2.075979633,1.02,0.5830,28,61
MNE,75.93171,23.6,12.24,16,9367.01688,0.368,735.15887,620173,46.11,20.78,10.02,45.44,87.32,46.9,435.5154955,9.1,0.1,3.892732957,6.02,0.8290,46,67
MNG,70.056,13.9,5.9,437,4534.91859,0.327,163.44186,3329282,2.14,40.11,115.2,55.54,38.59,29.6,570.0209327,6.9,2.5,2.239323787,6.42,0.7370,35,63
BGD,72.868,3,0,218,2503.04388,0.324,45.85716,166303494,1277.59,60.85,103.4,38.67,52.78,23.1,283.8712301,14.2,4.5,1.431592376,5.99,0.6320,26,51
ECU,77.216,14.8,3.27,48,5934.875496,0.473,486.49216,17888474,72.03,14.89,0.72,41.63,74.65,46.5,163.6550012,4.4,1.8,4.180687564,5.71,0.7590,36,80
GHA,64.347,15.1,2.78,143,2445.290749,0.435,75.28166,31732128,139.46,34.71,0.31,13.32,60.25,27.7,310.606548,2.6,5.6,2.168311692,6.5,0.6110,43,45
GNB,58.634,8.2,5.54,361,812.962373,0.348,62.57558,2015490,71.67,29.77,0.53,12.16,40.93,40.2,370.6325502,2.1,12,3.18421615,2.75,0.4800,21,37
KGZ,71.8,17.6,4.85,105,1276.242643,0.29,62.14478,6694200,34.9,22.74,1.16,92.47,91.85,35.7,466.3129965,6.6,4.1,2.561045589,3.62,0.6970,27,70
LSO,54.836,24.7,5.08,650,1166.461667,0.449,124.19363,2159067,71.12,28.03,0.44,47.62,77.74,32.3,399.8600499,4.6,10.6,1.433912979,6.3,0.5270,38,48
NGA,55.018,14.7,6.19,219,2085.030765,0.351,71.46573,211400704,232.11,71.8,0.29,30.51,25.39,28.3,235.6520169,3.6,18.3,3.678254974,4.11,0.5390,24,44
MKD,75.69317,18.8,6.43,12,6720.896285,0.33,436.88718,2065092,81.88,29.73,109.4,12.2,84.57,54.3,568.7036807,6.1,0.7,5.576464439,6.03,0.7740,39,68
PRY,74.363,23.2,7.01,48,5400.103826,0.435,388.39325,7219641,18.17,11.91,1.59,60.13,72.21,40.9,187.905196,7.5,2.3,5.70723507,5.86,0.7280,30,61
ROU,74.35366,19.6,12.34,64,14861.90917,0.348,738.55817,19115146,83.08,14.61,10.18,83.14,94.95,56,379.6263983,6.5,2.2,4.468825779,6.43,0.8280,45,71
TGO,61.34,24.7,2.66,36,992.3284294,0.424,51.15503,8478242,155.88,35.73,0.27,9.13,36.77,34,292.4521461,2.1,8.7,3.679637175,2.8,0.5150,30,44
